id,title,subtitle,authors,publisher,publishedDate,description,pageCount,categories,language,averageRating,ratingsCount,previewLink,buyLink,mainCategory,imagem
lyWOEQAAQBAJ,Frankenstein,,Mary Shelley,Seven Books,2025-10-10,"Frankenstein; or, The Modern Prometheus is an 1818 Gothic novel written by English author Mary Shelley. Frankenstein tells the story of Victor Frankenstein, a young scientist who creates a sapient creature in an unorthodox scientific experiment that involved putting it together with different body parts. Shelley started writing the story when she was 18 and staying in Bath, and the first edition was published anonymously in London on 1 January 1818, when she was 20. Her name first appeared in the second edition, which was published in Paris in 1821. Shelley travelled through Europe in 1815, moving along the river Rhine in Germany, and stopping in Gernsheim, 17 kilometres (11 mi) away from Frankenstein Castle, where, about a century earlier, Johann Konrad Dippel, an alchemist, had engaged in experiments. She then journeyed to the region of Geneva, Switzerland, where much of the story takes place. Galvanism and occult ideas were topics of conversation for her companions, particularly for her lover and future husband Percy Bysshe Shelley. In 1816, Mary, Percy, John Polidori, and Lord Byron had a competition to see who would write the best horror story.",214.0,Fiction,en,,,http://books.google.com.br/books?id=lyWOEQAAQBAJ&printsec=frontcover&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=lyWOEQAAQBAJ&rdid=book-lyWOEQAAQBAJ&rdot=1&source=gbs_api,Fiction,http://books.google.com/books/content?id=lyWOEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
XdMBTKWSfeMC,Taras Bulba,,Nikolái V. Gogol,Ediciones AKAL,2006-12-19,"Feroces, crueles, valientes y apasionados, los cosacos hacen temblar la estepa bajo los cascos de sus caballos. Y entre ellos se encuentra Taras Bulba, un anciano lleno aún de fuerza e inteligencia que junto a sus hijos, Ostap y Andrí, avanzará por tierras polacas con intención de vengar su fe ortodoxa burlada por los católicos. Ninguna guarnición, ciudad amurallada o iglesia podrán detenerlos, hasta que la desgracia se cierna sobre ellos y el apuesto y enamoradizo Andrí haga que su padre maldiga el día en que lo engendró. Taras Bulba, una anomalía entre la obra más conocida de Gogol, es una aventura trepidante, una sinfonía en perpetuo crescendo, en la que cada capítulo es más intenso y sorprendente que el anterior. un fresco tan afinadamente dibujado y tan vívido que resulta absolutamente intemporal.",154.0,Literary Criticism,es,,,http://books.google.com.br/books?id=XdMBTKWSfeMC&printsec=frontcover&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=2&source=gbs_api,,Fiction,http://books.google.com/books/content?id=XdMBTKWSfeMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
OqAFAQAAIAAJ,Mrs. Dalloway,,Virginia Woolf,Houghton Mifflin Harcourt,1925,"Heralded as Virginia Woolf's greatest novel, this is a vivid portrait of a single day in a woman's life. When we meet her, Mrs. Clarissa Dalloway is preoccupied with the last-minute details of party preparation while in her mind she is something much more than a perfect society hostess. As she readies her house, she is flooded with remembrances of faraway times. And, met with the realities of the present, Clarissa reexamines the choices that brought her there, hesitantly looking ahead to the unfamiliar work of growing old. ""Mrs. Dalloway was the first novel to split the atom. If the novel before Mrs. Dalloway aspired to immensities of scope and scale, to heroic journeys across vast landscapes, with Mrs. Dalloway Virginia Woolf insisted that it could also locate the enormous within the everyday; that a life of errands and party-giving was every bit as viable a subject as any life lived anywhere; and that should any human act in any novel seem unimportant, it has merely been inadequately observed. The novel asan art form has not been the same since. ""Mrs. Dalloway also contains some of the most beautiful, complex, incisive and idiosyncratic sentences ever written in English, and that alone would be reason enough to read it. It is one of the most moving, revolutionary artworks of the twentieth century."" --Michael Cunningham, author of The Hours",312.0,Fiction,en,,,http://books.google.com.br/books?id=OqAFAQAAIAAJ&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=3&source=gbs_api,,Fiction,http://books.google.com/books/content?id=OqAFAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
e5dDExc_tLEC,Arabian Nights,,,Library of Alexandria,2001-01-01,,744.0,Fiction,en,,,http://books.google.com.br/books?id=e5dDExc_tLEC&printsec=frontcover&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=4&source=gbs_api,https://play.google.com/store/books/details?id=e5dDExc_tLEC&rdid=book-e5dDExc_tLEC&rdot=1&source=gbs_api,Fiction,http://books.google.com/books/content?id=e5dDExc_tLEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
UiRdEQAAQBAJ,The History of the Peloponnesian War,,Thucydides,Otbebookpublishing,2021-01-13,"The History of the Peloponnesian War (Greek: Ἱστορίαι, ""Histories"") is a historical account of the Peloponnesian War (431–404 BC), which was fought between the Peloponnesian League (led by Sparta) and the Delian League (led by Athens). It was written by Thucydides, an Athenian historian who also served as an Athenian general during the war. His account of the conflict is widely considered to be a classic and regarded as one of the earliest scholarly works of history. The History is divided into eight books.",738.0,Fiction,en,,,http://books.google.com.br/books?id=UiRdEQAAQBAJ&printsec=frontcover&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=5&source=gbs_api,https://play.google.com/store/books/details?id=UiRdEQAAQBAJ&rdid=book-UiRdEQAAQBAJ&rdot=1&source=gbs_api,Fiction,http://books.google.com/books/content?id=UiRdEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
MRoMUV2kLZEC,Mysteries,,Knut Hamsun,Penguin,2001-01-01,"The first complete English translation of the Nobel Prize-winner’s literary masterpiece A Penguin Classic Mysteries is the story of Johan Nilsen Nagel, a mysterious stranger who suddenly turns up in a small Norwegian town one summer—and just as suddenly disappears. Nagel is a complete outsider, a sort of modern Christ treated in a spirit of near parody. He condemns the politics and thought of the age, brings comfort to the “insulted and injured,” and gains the love of two women suggestive of the biblical Mary and Martha. But there is a sinister side of him: in his vest he carries a vial of prussic acid... The novel creates a powerful sense of Nagel's stream of thought, as he increasingly withdraws into the torture chamber of his own subconscious psyche. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,800 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",356.0,Fiction,en,4.0,3.0,http://books.google.com.br/books?id=MRoMUV2kLZEC&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=6&source=gbs_api,,Fiction,http://books.google.com/books/content?id=MRoMUV2kLZEC&printsec=frontcover&img=1&zoom=1&source=gbs_api
6vGiDwAAQBAJ,The Picture of Dorian Gray,,Oscar Wilde,Lulu.com,2019-07-12,"The Picture of Dorian Gray is the only published novel by Oscar Wilde, appearing as the lead story in Lippincott's Monthly Magazine on 20 June 1890, printed as the July 1890 issue. The magazine's editors feared the story was indecent as submitted, so they censored roughly 500 words, without Wilde's knowledge, before publication. But even with that, the story was still greeted with outrage by British reviewers, some of whom suggested that Wilde should be prosecuted on moral grounds, leading Wilde to defend the novel aggressively in letters to the British press. Today, Wilde's fin de siècle novella is considered a classic. This new edition from Immortal Books includes footnotes and images.",188.0,Fiction,en,,,http://books.google.com.br/books?id=6vGiDwAAQBAJ&printsec=frontcover&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=7&source=gbs_api,,Fiction,http://books.google.com/books/content?id=6vGiDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
KVGd-NabpW0C,The Plague,,Albert Camus,Vintage,1991-05-07,"“Its relevance lashes you across the face.” —Stephen Metcalf, The Los Angeles Times • “A redemptive book, one that wills the reader to believe, even in a time of despair.” —Roger Lowenstein, The Washington Post A haunting tale of human resilience and hope in the face of unrelieved horror, Albert Camus' iconic novel about an epidemic ravaging the people of a North African coastal town is a classic of twentieth-century literature. The townspeople of Oran are in the grip of a deadly plague, which condemns its victims to a swift and horrifying death. Fear, isolation and claustrophobia follow as they are forced into quarantine. Each person responds in their own way to the lethal disease: some resign themselves to fate, some seek blame, and a few, like Dr. Rieux, resist the terror. An immediate triumph when it was published in 1947, The Plague is in part an allegory of France's suffering under the Nazi occupation, and a timeless story of bravery and determination against the precariousness of human existence.",322.0,Fiction,en,4.5,14.0,http://books.google.com.br/books?id=KVGd-NabpW0C&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=8&source=gbs_api,,Fiction,http://books.google.com/books/content?id=KVGd-NabpW0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
9zfmEAAAQBAJ,Frankenstein,The Original 1818 'Uncensored' Edition,Mary Shelley,Good Press,2023-12-27,"Mary Shelley's 'Frankenstein' is a groundbreaking work of gothic literature that explores themes of ambition, isolation, and the consequences of playing god. Written in an epistolary format, the reader is drawn into the chilling tale of Victor Frankenstein and his creation, the monster. Shelley's descriptive prose and use of multiple narrators create a sense of foreboding and unease, making 'Frankenstein' a timeless classic in the literary canon. The novel also raises ethical questions about scientific responsibility and the limits of human knowledge, making it a thought-provoking read for modern audiences. Mary Shelley's personal experiences, including the death of her own children and her tumultuous relationship with Percy Bysshe Shelley, undoubtedly influenced the creation of 'Frankenstein.' Her unique perspective as a female author in the 19th century adds layers of depth to the story, highlighting the societal expectations and constraints faced by women of her time. I highly recommend 'Frankenstein' to readers who enjoy thought-provoking literature that delves into the darker aspects of human nature and morality.",234.0,Fiction,en,,,http://books.google.com.br/books?id=9zfmEAAAQBAJ&printsec=frontcover&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=9&source=gbs_api,https://play.google.com/store/books/details?id=9zfmEAAAQBAJ&rdid=book-9zfmEAAAQBAJ&rdot=1&source=gbs_api,Fiction,http://books.google.com/books/content?id=9zfmEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
v7VPEQAAQBAJ,The Street of Crocodiles,,Bruno Schulz,Rare Treasure Editions,2025-03-19T00:00:00Z,"''The Street of Crocodiles'' by Bruno Schulz (1892-1942) was first published in Polish in 1934; this English translation was first published in the US by Walker and Company in 1963, public domain. A novel that blends the real and the fantastic, from ""one of the most original imaginations in modern Europe"" (Cynthia Ozick). The Street of Crocodiles in the Polish city of Drogobych is a street of memories and dreams where recollections of Bruno Schulz's uncommon boyhood and of the eerie side of his merchant family's life are evoked in a startling blend of the real and the fantastic. Most memorable - and most chilling - is the portrait of the author's father, a maddened shopkeeper who imports rare birds' eggs to hatch in his attic, who believes tailors' dummies should be treated like people, and whose obsessive fear of cockroaches causes him to resemble one. Bruno Schulz, a Polish Jew killed by the Nazis in 1942, is considered by many to have been the leading Polish writer between the two world wars.",136.0,Fiction,en,,,http://books.google.com.br/books?id=v7VPEQAAQBAJ&printsec=frontcover&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=10&source=gbs_api,,Fiction,http://books.google.com/books/content?id=v7VPEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
iqZnwQEACAAJ,Robinson Crusoe,,Daniel Defoe,Independently Published,2019-01-24,"The Life and Strange Surprising Adventures of Robinson Crusoe (of York, Mariner Who lived Eight and Twenty Years all alone in an un-inhabited Island on the Coast of America, near the Mouth of the Great River of Oroonoque; Having been cast on Shore by Shipwreck, where in all the Men perished but Himself. With An Account how he was at last as strangely deliver'd by Pyrates) is a novel by Daniel Defoe, first published in 1719 and sometimes regarded as the first novel...",574.0,Fiction,en,,,http://books.google.com.br/books?id=iqZnwQEACAAJ&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=41&source=gbs_api,,Fiction,http://books.google.com/books/content?id=iqZnwQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
ZcjAzQEACAAJ,The Picture of Dorian Gray Illustrated,,Oscar Wilde,,2020-08-07,"The Picture of Dorian Gray is a Gothic and philosophical novel by Oscar Wilde, first published complete in the July 1890 issue of Lippincott's Monthly Magazine.Fearing the story was indecent, the magazine's editor deleted roughly five hundred words before publication without Wilde's knowledge. Despite that censorship, The Picture of Dorian Gray offended the moral sensibilities of British book reviewers, some of whom said that Oscar Wilde merited prosecution for violating the laws guarding public morality. In response, Wilde aggressively defended his novel and art in correspondence with the British press, although he personally made excisions of some of the most controversial material when revising and lengthening the story for book publication the following year.",272.0,,en,,,http://books.google.com.br/books?id=ZcjAzQEACAAJ&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=42&source=gbs_api,,Fiction,http://books.google.com/books/content?id=ZcjAzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
dlWHjwEACAAJ,The Idiot (Annotated),,Fyodor Fyodor Dostoyevsky,Createspace Independent Publishing Platform,2016-02-17,"The Idiot is a novel by the 19th-century Russian author Fyodor Dostoyevsky. It was first published serially in the journal The Russian Messenger in 1868-9. The title is an ironic reference to the central character of the novel, Prince Lyov Nikolaevich Myshkin, a young man whose goodness and open-hearted simplicity lead many of the more worldly characters he encounters to mistakenly assume that he lacks intelligence and insight. In the character of Prince Myshkin, Dostoevsky set himself the task of depicting ""the positively good and beautiful man."" The novel examines the consequences of placing such a unique individual at the centre of the conflicts, desires, passions and egoism of worldly society, both for the man himself and for those with whom he becomes involved. The result, according to philosopher A.C. Grayling, is ""one of the most excoriating, compelling and remarkable books ever written; and without question one of the greatest.""",556.0,,en,,,http://books.google.com.br/books?id=dlWHjwEACAAJ&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=43&source=gbs_api,,Fiction,http://books.google.com/books/content?id=dlWHjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
QJLK0AEACAAJ,On The Road,,Jack Kerouac,Penguin Books,1976-12-28,"On September 5, 1957, Jack Kerouac?s novel On The Road was published. Since then, few books have had as profound an impact on American culture. Pulsating with the rhythms of late-1940s/1950s underground America, jazz, sex, illicit drugs, and the mystery and promise of the open road, Kerouac?s classic novel of freedom and longing defined what it meant to be?Beat? and has inspired generations of writers, musicians, artists, poets and seekers who cite their discovery of the book as the event that?set them free.? Based on Kerouac?s adventures with Neal Cassady, On The Road tells the story of two friends whose four cross-country road trips are a quest for meaning and true experience. Expressing a mixture of sad-eyed naïveté and wild abandon, and imbued with Kerouac?s love of America, his compassion for humanity, and his sense of language as jazz, On The Road is the quintessential American vision of freedom and hope. It changed American literature and changed anyone who has ever picked it up.",0.0,Fiction,en,,,http://books.google.com.br/books?id=QJLK0AEACAAJ&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=44&source=gbs_api,,Fiction,
